epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,11696.1,1.74583,0.99853,0.92299,0.79225,0.61876,0.70601,0.36777,1.72131,1.03403,0.91703,0.006997,0.006997,0.006997
93,11836.9,1.76258,1.01027,0.92558,0.78896,0.62055,0.70624,0.36816,1.71964,1.02877,0.91679,0.006964,0.006964,0.006964
94,11954.1,1.75026,0.99617,0.92132,0.78893,0.62094,0.7066,0.3689,1.71872,1.02772,0.91624,0.006931,0.006931,0.006931
95,12090.2,1.73679,0.98431,0.92285,0.79401,0.6237,0.70947,0.3693,1.71769,1.02841,0.91591,0.006898,0.006898,0.006898
96,12225.1,1.73758,0.9924,0.92179,0.78876,0.62613,0.71003,0.36983,1.71935,1.02664,0.91616,0.006865,0.006865,0.006865
97,12320.3,1.75342,0.99289,0.92263,0.78673,0.63026,0.71078,0.37084,1.7188,1.02382,0.91627,0.006832,0.006832,0.006832
98,12446.8,1.73182,0.99143,0.92411,0.78456,0.62829,0.70919,0.3705,1.71912,1.02357,0.91613,0.006799,0.006799,0.006799
99,12582.9,1.72177,0.97302,0.91816,0.787,0.62879,0.71081,0.37127,1.719,1.01945,0.91615,0.006766,0.006766,0.006766
100,12684.8,1.71339,0.9633,0.92177,0.78915,0.62755,0.71018,0.37098,1.71949,1.0156,0.91631,0.006733,0.006733,0.006733
101,12779.9,1.73645,0.98193,0.92096,0.7896,0.62672,0.71044,0.37052,1.72018,1.0163,0.91643,0.0067,0.0067,0.0067
102,13167.3,1.72438,0.96971,0.91527,0.78944,0.6258,0.71154,0.37158,1.71826,1.0144,0.91626,0.006667,0.006667,0.006667
103,13296,1.70469,0.96622,0.91856,0.78796,0.62848,0.71198,0.37163,1.71493,1.01089,0.91577,0.006634,0.006634,0.006634
104,13437.2,1.72328,0.96529,0.91299,0.78766,0.62998,0.71287,0.37271,1.71308,1.00661,0.91562,0.006601,0.006601,0.006601
105,13536.2,1.70846,0.95896,0.91201,0.79168,0.62881,0.71348,0.37365,1.71203,1.00514,0.91554,0.006568,0.006568,0.006568
106,13630.9,1.69906,0.95948,0.91828,0.7942,0.63032,0.71529,0.37433,1.71032,1.00576,0.91555,0.006535,0.006535,0.006535
107,13748.6,1.70897,0.95828,0.91467,0.79259,0.63283,0.71594,0.37419,1.71109,1.00443,0.91546,0.006502,0.006502,0.006502
108,13848.1,1.70665,0.96062,0.91541,0.79543,0.63183,0.7162,0.37467,1.70854,1.00315,0.91518,0.006469,0.006469,0.006469
109,13945.1,1.70059,0.9563,0.91408,0.79435,0.63233,0.7162,0.37434,1.70853,1.00191,0.91514,0.006436,0.006436,0.006436
110,14042,1.71477,0.95845,0.9186,0.79941,0.62982,0.71594,0.37488,1.70787,0.99936,0.91517,0.006403,0.006403,0.006403
111,14159.1,1.70398,0.95778,0.91433,0.802,0.6258,0.71616,0.37514,1.7083,0.99751,0.91504,0.00637,0.00637,0.00637
112,14296.2,1.68919,0.93798,0.91094,0.80303,0.62462,0.71558,0.37519,1.70803,0.99737,0.91473,0.006337,0.006337,0.006337
113,14429.2,1.70111,0.95387,0.91227,0.80446,0.62298,0.71526,0.37587,1.70744,0.99692,0.91468,0.006304,0.006304,0.006304
114,14548.4,1.69849,0.95384,0.91366,0.80522,0.62245,0.7153,0.3753,1.70745,0.99686,0.91439,0.006271,0.006271,0.006271
115,14692.4,1.68178,0.93856,0.91216,0.80577,0.62462,0.71647,0.37561,1.70661,0.99529,0.91431,0.006238,0.006238,0.006238
116,14791.9,1.67703,0.93379,0.91245,0.8017,0.6271,0.71636,0.37598,1.70605,0.99395,0.91434,0.006205,0.006205,0.006205
117,14923.2,1.69413,0.94438,0.91229,0.79928,0.62765,0.71647,0.37605,1.70542,0.99308,0.9141,0.006172,0.006172,0.006172
118,15052.8,1.67643,0.93536,0.91178,0.80383,0.62613,0.71718,0.37687,1.70357,0.99122,0.91363,0.006139,0.006139,0.006139
119,15185.8,1.68662,0.93949,0.91177,0.80505,0.62532,0.71821,0.37699,1.7025,0.99147,0.91348,0.006106,0.006106,0.006106
120,15286.3,1.69562,0.94049,0.90904,0.80552,0.62596,0.71837,0.37678,1.70296,0.99124,0.91349,0.006073,0.006073,0.006073
121,15382,1.6925,0.93381,0.9061,0.80474,0.6273,0.71882,0.37716,1.70323,0.99019,0.91336,0.00604,0.00604,0.00604
122,15505.6,1.69344,0.93683,0.90728,0.80324,0.62848,0.7196,0.37739,1.70326,0.99033,0.91335,0.006007,0.006007,0.006007
123,15639.9,1.67076,0.92563,0.91074,0.80348,0.62513,0.71848,0.37732,1.7028,0.99141,0.91325,0.005974,0.005974,0.005974
124,15737.9,1.65763,0.91971,0.90821,0.80339,0.62559,0.71914,0.37749,1.70215,0.99146,0.91332,0.005941,0.005941,0.005941
125,15838.4,1.67806,0.93255,0.90766,0.80279,0.62731,0.71917,0.37775,1.70111,0.99205,0.91317,0.005908,0.005908,0.005908
